A,B,G,cryst
[NH3+]C1=CC=C(OC2=CC=C([NH3+])C=C2)C=C1,CC1=CC=C(S(=O)(=O)[O-])C=C1,CC1=CC(C)=C(O)C=C1,1
[NH3+]C1=CC=C(OC2=CC=C([NH3+])C=C2)C=C1,CC1=CC=C(S(=O)(=O)[O-])C=C1,CCC1=C(O)C=CC=C1,1
[NH3+]C1=CC=C(CC2=CC(Cl)=C([NH3+])C=C2)C=C1Cl,O=S(=O)([O-])C1=CC=CC2=C(S(=O)(=O)[O-])C=CC=C12,CC(C)C1=C(O)C=CC=C1,1
[NH3+]C1=CC=C(OC2=CC=C([NH3+])C=C2)C=C1,CC1=CC=C(S(=O)(=O)[O-])C=C1,CC(C)C1=C(O)C=CC=C1,1
[NH3+]C1=CC=C([NH3+])C=C1,CC1=CC=C(S(=O)(=O)[O-])C=C1,CC1=CC(C)=C(O)C=C1,1
[NH3+]C1=CC=C([NH3+])C=C1,O=S(=O)([O-])C1=CC=CC2=C(S(=O)(=O)[O-])C=CC=C12,CC1=CC(C)=C(O)C=C1,0
[NH3+]C1=CC=C(CC2=CC=C([NH3+])C=C2)C=C1,CC1=CC=C(S(=O)(=O)[O-])C=C1,CC(C)C1=C(O)C=CC=C1,0
[NH3+]C1=CC=C([NH3+])C=C1,O=S(=O)([O-])C1=CC=CC2=C(S(=O)(=O)[O-])C=CC=C12,CCC1=C(O)C=CC=C1,0
[NH3+]C1=CC=C(CC2=CC=C([NH3+])C=C2)C=C1,O=S(=O)([O-])C1=CC=CC2=C(S(=O)(=O)[O-])C=CC=C12,CCC1=C(O)C=CC=C1,0
[NH3+]C1=CC=C(CC2=CC=C([NH3+])C=C2)C=C1,CC1=CC=C(S(=O)(=O)[O-])C=C1,CCC1=C(O)C=CC=C1,0
[NH3+]C1=CC=C([NH3+])C=C1,CC1=CC=C(S(=O)(=O)[O-])C=C1,CCC1=C(O)C=CC=C1,0
[NH3+]CCCCCC[NH3+],CC1=CC=C(S(=O)(=O)[O-])C=C1,CCC1=C(O)C=CC=C1,0
[NH3+]CCCCCC[NH3+],O=S(=O)([O-])C1=CC=CC2=C(S(=O)(=O)[O-])C=CC=C12,CC1=CC(C)=C(O)C=C1,0
[NH3+]C1=CC=C(CC2=CC=C([NH3+])C=C2)C=C1,O=S(=O)([O-])C1=CC=CC2=C(S(=O)(=O)[O-])C=CC=C12,CC1=CC(C)=C(O)C=C1,0
[NH3+]CCCCCC[NH3+],CC1=CC=C(S(=O)(=O)[O-])C=C1,CC1=CC(C)=C(O)C=C1,0
[NH3+]C1=CC=C(CC2=CC=C([NH3+])C=C2)C=C1,CC1=CC=C(S(=O)(=O)[O-])C=C1,CC1=CC(C)=C(O)C=C1,0
[NH3+]C1=CC=C(S(=O)(=O)C2=CC=C([NH3+])C=C2)C=C1,CC1=CC=C(S(=O)(=O)[O-])C=C1,CC(C)C1=C(O)C=CC=C1,0
[NH3+]C1=CC=C(S(=O)(=O)C2=CC=C([NH3+])C=C2)C=C1,CC1=CC=C(S(=O)(=O)[O-])C=C1,CC1=CC(C)=C(O)C=C1,0
[NH3+]C1=CC=C(S(=O)(=O)C2=CC=C([NH3+])C=C2)C=C1,CC1=CC=C(S(=O)(=O)[O-])C=C1,CCC1=C(O)C=CC=C1,0
[NH3+]C1=CC=C(CC2=CC(Cl)=C([NH3+])C=C2)C=C1Cl,CC1=CC=C(S(=O)(=O)[O-])C=C1,CC(C)C1=C(O)C=CC=C1,0
[NH3+]CCCCCC[NH3+],CC1=CC=C(S(=O)(=O)[O-])C=C1,CC(C)C1=C(O)C=CC=C1,0
[NH3+]C1=CC=C(CC2=CC(Cl)=C([NH3+])C=C2)C=C1Cl,CC1=CC=C(S(=O)(=O)[O-])C=C1,CC1=CC(C)=C(O)C=C1,0
[NH3+]C1=CC=C(CC2=CC(Cl)=C([NH3+])C=C2)C=C1Cl,O=S(=O)([O-])C1=CC=CC2=C(S(=O)(=O)[O-])C=CC=C12,CC1=CC(C)=C(O)C=C1,0
[NH3+]C1=CC=C(CC2=CC=C([NH3+])C=C2)C=C1,O=S(=O)([O-])C1=CC=C2C=C(S(=O)(=O)[O-])C=CC2=C1,CC1=CC(C)=C(O)C=C1,0
[NH3+]C1=CC=C(S(=O)(=O)C2=CC=C([NH3+])C=C2)C=C1,O=S(=O)([O-])C1=CC=C2C=C(S(=O)(=O)[O-])C=CC2=C1,CC(C)C1=C(O)C=CC=C1,0
[NH3+]C1=CC=C(OC2=CC=C([NH3+])C=C2)C=C1,O=S(=O)([O-])C1=CC=CC2=C(S(=O)(=O)[O-])C=CC=C12,CC1=CC(C)=C(O)C=C1,0
[NH3+]C1=CC=C(OC2=CC=C([NH3+])C=C2)C=C1,O=S(=O)([O-])C1=CC=CC2=C(S(=O)(=O)[O-])C=CC=C12,CC(C)C1=C(O)C=CC=C1,0
[NH3+]C1=CC=C(OC2=CC=C([NH3+])C=C2)C=C1,O=S(=O)([O-])C1=CC=C2C=C(S(=O)(=O)[O-])C=CC2=C1,CC(C)C1=C(O)C=CC=C1,0
[NH3+]C1=CC=C(OC2=CC=C([NH3+])C=C2)C=C1,O=S(=O)([O-])C1=CC=C2C=C(S(=O)(=O)[O-])C=CC2=C1,CC1=CC(C)=C(O)C=C1,0
[NH3+]C1=CC=C([NH3+])C=C1,CC1=CC=C(S(=O)(=O)[O-])C=C1,CC(C)C1=C(O)C=CC=C1,0
[NH3+]CCCCCC[NH3+],O=S(=O)([O-])C1=CC=CC2=C(S(=O)(=O)[O-])C=CC=C12,CC(C)C1=C(O)C=CC=C1,0
[NH3+]C1=CC=C([NH3+])C=C1,O=S(=O)([O-])C1=CC=CC2=C(S(=O)(=O)[O-])C=CC=C12,CC(C)C1=C(O)C=CC=C1,0
[NH3+]C1=CC=C(CC2=CC=C([NH3+])C=C2)C=C1,O=S(=O)([O-])C1=CC=CC2=C(S(=O)(=O)[O-])C=CC=C12,CC(C)C1=C(O)C=CC=C1,0
[NH3+]CCCCCC[NH3+],O=S(=O)([O-])C1=CC=CC2=C(S(=O)(=O)[O-])C=CC=C12,CCC1=C(O)C=CC=C1,0
